0, -41.0, 2.0, 34.0, 61.0
1, -49.0, -3.0, 81.0, 64.0
2, 47.0, 6.0, 77.0, 89.0
3, 168.0, 5.0, 65.0, 67.0
4, -88.0, -5.0, 71.0, 46.0
5, 67.0, 13.0, 79.0, 59.0
6, 146.0, 9.0, 65.0, 65.0
7, 54.0, 6.0, 44.0, 67.0
8, 86.0, -13.0, 75.0, 64.0
9, -209.0, -12.0, 72.0, 64.0
10, 50.0, 12.0, 74.0, 66.0
11, 18.0, 3.0, 56.0, 73.0
12, -12.0, 22.0, 63.0, 54.0
13, 104.0, 8.0, 71.0, 77.0
14, 196.0, 0.0, 81.0, 58.0
15, -68.0, 10.0, 63.0, 81.0
16, -162.0, -3.0, 68.0, 56.0
17, 91.0, 6.0, 72.0, 53.0
18, -153.0, -6.0, 65.0, 60.0
19, 72.0, -10.0, 72.0, 76.0
20, 64.0, 0.0, 74.0, 71.0
21, 127.0, 1.0, 73.0, 58.0
22, 67.0, 6.0, 73.0, 72.0
23, -122.0, 0.0, 83.0, 58.0
24, 114.0, 3.0, 64.0, 77.0
25, -30.0, -3.0, 94.0, 56.0
26, -64.0, 7.0, 75.0, 55.0
27, 13.0, 6.0, 67.0, 70.0
28, -12.0, 9.0, 72.0, 64.0
29, 128.0, 13.0, 61.0, 74.0
30, 93.0, 0.0, 67.0, 63.0
31, 92.0, 2.0, 58.0, 78.0
32, 102.0, 4.0, 74.0, 67.0
33, -17.0, -4.0, 64.0, 68.0
34, 57.0, 36.0, 82.0, 74.0
35, -3.0, 0.0, 64.0, 73.0
36, -13.0, 5.0, 66.0, 56.0
37, -69.0, 1.0, 63.0, 75.0
38, -86.0, 8.0, 76.0, 70.0
39, 33.0, -3.0, 70.0, 82.0
40, 37.0, -8.0, 91.0, 90.0
41, -36.0, 22.0, 59.0, 70.0
42, 80.0, 13.0, 98.0, 70.0
43, 19.0, 22.0, 87.0, 65.0
44, -40.0, 12.0, 50.0, 67.0
45, 228.0, 4.0, 75.0, 65.0
46, 106.0, 3.0, 83.0, 75.0
47, -21.0, 20.0, 57.0, 72.0
48, 41.0, 20.0, 63.0, 70.0
49, 112.0, 12.0, 51.0, 47.0
50, 65.0, 4.0, 69.0, 87.0
51, 28.0, 10.0, 55.0, 58.0
52, -69.0, -8.0, 60.0, 76.0
53, 176.0, 31.0, 56.0, 58.0
54, 59.0, 7.0, 52.0, 72.0
55, 191.0, 8.0, 80.0, 65.0
56, 84.0, 0.0, 73.0, 68.0
57, 32.0, 15.0, 55.0, 85.0
58, 102.0, 10.0, 68.0, 68.0
59, -51.0, 2.0, 75.0, 89.0
60, -14.0, 7.0, 68.0, 71.0
61, -48.0, 9.0, 57.0, 91.0
62, -45.0, -5.0, 92.0, 63.0
63, 146.0, 3.0, 38.0, 74.0
64, -95.0, 3.0, 89.0, 73.0
65, 77.0, -5.0, 68.0, 76.0
66, 89.0, -25.0, 72.0, 53.0
67, 95.0, 18.0, 70.0, 63.0
68, -72.0, -9.0, 52.0, 62.0
69, -52.0, -10.0, 58.0, 67.0
70, -120.0, -9.0, 47.0, 66.0
71, 95.0, -3.0, 63.0, 76.0
72, 81.0, 0.0, 76.0, 85.0
73, -9.0, 13.0, 71.0, 69.0
74, 36.0, 3.0, 74.0, 76.0
75, 119.0, 11.0, 64.0, 79.0
76, -107.0, 20.0, 89.0, 59.0
77, 36.0, 6.0, 68.0, 99.0
78, 48.0, 5.0, 47.0, 53.0
79, -72.0, -1.0, 52.0, 68.0
80, -55.0, -12.0, 66.0, 68.0
81, 12.0, -7.0, 69.0, 66.0
82, -137.0, 12.0, 65.0, 86.0
83, -157.0, 13.0, 59.0, 74.0
84, -1.0, 3.0, 53.0, 95.0
85, 47.0, 11.0, 70.0, 65.0
86, -67.0, 11.0, 75.0, 64.0
87, -68.0, 16.0, 63.0, 62.0
88, 17.0, -5.0, 95.0, 68.0
89, 90.0, -7.0, 79.0, 50.0
90, 56.0, -17.0, 49.0, 83.0
91, -85.0, 28.0, 50.0, 91.0
92, -97.0, -4.0, 56.0, 70.0
93, 51.0, 3.0, 58.0, 79.0
94, -161.0, 23.0, 58.0, 77.0
95, 78.0, -11.0, 88.0, 74.0
96, -56.0, 4.0, 73.0, 75.0
97, 62.0, 3.0, 62.0, 72.0
98, -156.0, 4.0, 65.0, 83.0
99, -106.0, 1.0, 44.0, 61.0
100, -47.0, -6.0, 63.0, 65.0
101, 110.0, -15.0, 93.0, 59.0
102, -111.0, 19.0, 84.0, 63.0
103, 230.0, 9.0, 84.0, 64.0
104, 38.0, -3.0, 70.0, 63.0
105, -40.0, -7.0, 59.0, 94.0
106, -43.0, 0.0, 67.0, 63.0
107, -130.0, 2.0, 50.0, 80.0
108, 20.0, 5.0, 71.0, 94.0
109, 64.0, 2.0, 59.0, 67.0
110, -32.0, -9.0, 62.0, 58.0
111, -59.0, 11.0, 61.0, 69.0
112, 140.0, 4.0, 64.0, 68.0
113, -44.0, 6.0, 61.0, 78.0
114, -213.0, 11.0, 70.0, 60.0
115, -156.0, -12.0, 75.0, 80.0
116, -77.0, 2.0, 72.0, 63.0
117, -67.0, 11.0, 61.0, 64.0
118, -124.0, 3.0, 61.0, 63.0
119, 33.0, 26.0, 66.0, 71.0
120, -3.0, 8.0, 62.0, 70.0
121, 135.0, 14.0, 80.0, 82.0
122, -82.0, -7.0, 61.0, 78.0
123, -16.0, -3.0, 54.0, 73.0
124, 3.0, 10.0, 94.0, 64.0
125, -40.0, 0.0, 90.0, 83.0
126, -34.0, -5.0, 64.0, 75.0
127, 29.0, 3.0, 74.0, 57.0
128, -153.0, 14.0, 62.0, 57.0
129, -125.0, 6.0, 68.0, 56.0
130, -19.0, 10.0, 70.0, 67.0
131, 185.0, 20.0, 71.0, 77.0
132, 52.0, 1.0, 72.0, 69.0
133, -47.0, -1.0, 66.0, 65.0
134, 47.0, 5.0, 62.0, 93.0
135, -57.0, 20.0, 63.0, 70.0
136, 38.0, 3.0, 59.0, 76.0
